Fecha;Unidades;TRM;TRMdesfas
02/06/2012;323;$ 1.834,71 ;$ 1.767,84 
03/06/2012;1;$ 1.834,71 ;$ 1.772,58 
04/06/2012;953;$ 1.834,71 ;$ 1.772,58 
05/06/2012;1156;$ 1.815,54 ;$ 1.772,58 
06/06/2012;1404;$ 1.798,85 ;$ 1.772,58 
07/06/2012;1453;$ 1.782,89 ;$ 1.772,58 
08/06/2012;1460;$ 1.766,91 ;$ 1.779,53 
09/06/2012;471;$ 1.776,26 ;$ 1.793,30 
10/06/2012;0;$ 1.776,26 ;$ 1.787,66 
11/06/2012;0;$ 1.776,26 ;$ 1.778,78 
12/06/2012;919;$ 1.776,26 ;$ 1.777,12 
13/06/2012;1206;$ 1.776,47 ;$ 1.777,12 
14/06/2012;1390;$ 1.783,45 ;$ 1.777,12 
15/06/2012;1337;$ 1.787,63 ;$ 1.775,67 
16/06/2012;348;$ 1.786,21 ;$ 1.769,07 
17/06/2012;30;$ 1.786,21 ;$ 1.774,21 
18/06/2012;0;$ 1.786,21 ;$ 1.776,06 
19/06/2012;987;$ 1.786,21 ;$ 1.771,13 
20/06/2012;1116;$ 1.773,18 ;$ 1.771,13 
21/06/2012;1300;$ 1.770,38 ;$ 1.771,13 
22/06/2012;1330;$ 1.775,99 ;$ 1.774,44 
23/06/2012;352;$ 1.787,47 ;$ 1.767,91 
24/06/2012;7;$ 1.787,47 ;$ 1.763,85 
25/06/2012;541;$ 1.787,47 ;$ 1.764,63 
26/06/2012;625;$ 1.803,37 ;$ 1.761,20 
27/06/2012;1493;$ 1.805,14 ;$ 1.761,20 
28/06/2012;1510;$ 1.796,18 ;$ 1.761,20 
29/06/2012;1396;$ 1.805,60 ;$ 1.764,00 
30/06/2012;361;$ 1.784,60 ;$ 1.764,00 
01/07/2012;1;$ 1.784,60 ;$ 1.760,12 
02/07/2012;2;$ 1.784,60 ;$ 1.754,89 
03/07/2012;853;$ 1.784,60 ;$ 1.757,24 
04/07/2012;1267;$ 1.771,53 ;$ 1.757,24 
05/07/2012;1250;$ 1.771,53 ;$ 1.757,24 
06/07/2012;1416;$ 1.774,37 ;$ 1.759,12 
07/07/2012;619;$ 1.785,25 ;$ 1.760,60 
08/07/2012;1;$ 1.785,25 ;$ 1.775,96 
09/07/2012;978;$ 1.785,25 ;$ 1.765,00 
10/07/2012;1246;$ 1.790,25 ;$ 1.764,69 
11/07/2012;1271;$ 1.785,06 ;$ 1.764,69 
12/07/2012;1242;$ 1.787,72 ;$ 1.764,69 
13/07/2012;1510;$ 1.790,12 ;$ 1.771,60 
14/07/2012;390;$ 1.780,21 ;$ 1.778,37 
15/07/2012;0;$ 1.780,21 ;$ 1.793,61 
16/07/2012;831;$ 1.780,21 ;$ 1.804,92 
17/07/2012;1105;$ 1.778,42 ;$ 1.814,46 
18/07/2012;1181;$ 1.778,97 ;$ 1.814,46 
19/07/2012;1515;$ 1.778,28 ;$ 1.814,46 
20/07/2012;23;$ 1.775,80 ;$ 1.814,46 
21/07/2012;325;$ 1.775,80 ;$ 1.824,73 
22/07/2012;0;$ 1.775,80 ;$ 1.845,17 
23/07/2012;875;$ 1.775,80 ;$ 1.836,45 
24/07/2012;1094;$ 1.790,39 ;$ 1.840,69 
25/07/2012;1386;$ 1.797,33 ;$ 1.840,69 
26/07/2012;1298;$ 1.799,48 ;$ 1.840,69 
27/07/2012;1400;$ 1.789,22 ;$ 1.840,69 
28/07/2012;389;$ 1.791,12 ;$ 1.818,82 
29/07/2012;1;$ 1.791,12 ;$ 1.827,83 
30/07/2012;1030;$ 1.791,12 ;$ 1.833,80 
31/07/2012;1139;$ 1.789,02 ;$ 1.834,71 
01/08/2012;1157;$ 1.790,74 ;$ 1.834,71 
02/08/2012;1242;$ 1.787,51 ;$ 1.834,71 
03/08/2012;1315;$ 1.790,97 ;$ 1.815,54 
04/08/2012;439;$ 1.786,06 ;$ 1.798,85 
05/08/2012;0;$ 1.786,06 ;$ 1.782,89 
06/08/2012;959;$ 1.786,06 ;$ 1.766,91 
07/08/2012;1;$ 1.785,29 ;$ 1.776,26 
08/08/2012;1116;$ 1.785,29 ;$ 1.776,26 
09/08/2012;1359;$ 1.788,03 ;$ 1.776,26 
10/08/2012;1369;$ 1.788,08 ;$ 1.776,26 
11/08/2012;370;$ 1.791,61 ;$ 1.776,47 
12/08/2012;21;$ 1.791,61 ;$ 1.783,45 
13/08/2012;980;$ 1.791,61 ;$ 1.787,63 
14/08/2012;1141;$ 1.792,86 ;$ 1.786,21 
15/08/2012;1195;$ 1.800,81 ;$ 1.786,21 
16/08/2012;1320;$ 1.817,18 ;$ 1.786,21 
17/08/2012;1235;$ 1.825,52 ;$ 1.786,21 
18/08/2012;365;$ 1.822,59 ;$ 1.773,18 
19/08/2012;0;$ 1.822,59 ;$ 1.770,38 
20/08/2012;0;$ 1.822,59 ;$ 1.775,99 
21/08/2012;809;$ 1.822,59 ;$ 1.787,47 
22/08/2012;1036;$ 1.815,80 ;$ 1.787,47 
23/08/2012;1223;$ 1.812,88 ;$ 1.787,47 
24/08/2012;1113;$ 1.808,33 ;$ 1.803,37 
25/08/2012;490;$ 1.814,83 ;$ 1.805,14 
26/08/2012;62;$ 1.814,83 ;$ 1.796,18 
27/08/2012;792;$ 1.814,83 ;$ 1.805,60 
28/08/2012;1131;$ 1.821,44 ;$ 1.784,60 
29/08/2012;1157;$ 1.828,99 ;$ 1.784,60 
30/08/2012;1296;$ 1.833,14 ;$ 1.784,60 
31/08/2012;1295;$ 1.830,50 ;$ 1.784,60 
01/09/2012;280;$ 1.825,21 ;$ 1.771,53 
02/09/2012;1;$ 1.825,21 ;$ 1.771,53 
03/09/2012;829;$ 1.825,21 ;$ 1.774,37 
04/09/2012;1008;$ 1.825,21 ;$ 1.785,25 
05/09/2012;1035;$ 1.824,81 ;$ 1.785,25 
06/09/2012;1368;$ 1.814,06 ;$ 1.785,25 
07/09/2012;1281;$ 1.804,09 ;$ 1.790,25 
08/09/2012;489;$ 1.797,35 ;$ 1.785,06 
09/09/2012;30;$ 1.797,35 ;$ 1.787,72 
10/09/2012;1095;$ 1.797,35 ;$ 1.790,12 
11/09/2012;1204;$ 1.802,23 ;$ 1.780,21 
12/09/2012;1347;$ 1.795,40 ;$ 1.780,21 
13/09/2012;1439;$ 1.802,22 ;$ 1.780,21 
14/09/2012;1293;$ 1.799,57 ;$ 1.778,42 
15/09/2012;405;$ 1.789,54 ;$ 1.778,97 
16/09/2012;0;$ 1.789,54 ;$ 1.778,28 
17/09/2012;930;$ 1.789,54 ;$ 1.775,80 
18/09/2012;933;$ 1.799,77 ;$ 1.775,80 
19/09/2012;1320;$ 1.800,19 ;$ 1.775,80 
20/09/2012;1353;$ 1.795,66 ;$ 1.775,80 
21/09/2012;1231;$ 1.798,98 ;$ 1.790,39 
22/09/2012;313;$ 1.796,75 ;$ 1.797,33 
23/09/2012;41;$ 1.796,75 ;$ 1.799,48 
24/09/2012;840;$ 1.796,75 ;$ 1.789,22 
25/09/2012;1033;$ 1.799,29 ;$ 1.791,12 
26/09/2012;1287;$ 1.795,69 ;$ 1.791,12 
27/09/2012;1335;$ 1.799,55 ;$ 1.791,12 
28/09/2012;1415;$ 1.798,08 ;$ 1.789,02 
29/09/2012;422;$ 1.800,52 ;$ 1.790,74 
30/09/2012;0;$ 1.800,52 ;$ 1.787,51 
01/10/2012;813;$ 1.800,52 ;$ 1.790,97 
02/10/2012;1110;$ 1.797,97 ;$ 1.786,06 
03/10/2012;1280;$ 1.798,86 ;$ 1.786,06 
04/10/2012;1352;$ 1.800,43 ;$ 1.786,06 
05/10/2012;1360;$ 1.797,68 ;$ 1.785,29 
06/10/2012;400;$ 1.795,40 ;$ 1.785,29 
07/10/2012;10;$ 1.795,40 ;$ 1.788,03 
08/10/2012;1195;$ 1.795,40 ;$ 1.788,08 
09/10/2012;1209;$ 1.795,40 ;$ 1.791,61 
10/10/2012;1299;$ 1.798,32 ;$ 1.791,61 
11/10/2012;1324;$ 1.799,78 ;$ 1.791,61 
12/10/2012;1275;$ 1.797,68 ;$ 1.792,86 
13/10/2012;326;$ 1.797,68 ;$ 1.800,81 
14/10/2012;18;$ 1.797,68 ;$ 1.817,18 
15/10/2012;0;$ 1.797,68 ;$ 1.825,52 
16/10/2012;752;$ 1.797,68 ;$ 1.822,59 
17/10/2012;1022;$ 1.797,81 ;$ 1.822,59 
18/10/2012;853;$ 1.798,53 ;$ 1.822,59 
19/10/2012;1319;$ 1.797,66 ;$ 1.822,59 
20/10/2012;391;$ 1.798,42 ;$ 1.815,80 
21/10/2012;7;$ 1.798,42 ;$ 1.812,88 
22/10/2012;866;$ 1.798,42 ;$ 1.808,33 
23/10/2012;1057;$ 1.802,91 ;$ 1.814,83 
24/10/2012;1159;$ 1.816,60 ;$ 1.814,83 
25/10/2012;1180;$ 1.817,25 ;$ 1.814,83 
26/10/2012;1203;$ 1.816,97 ;$ 1.821,44 
27/10/2012;327;$ 1.823,18 ;$ 1.828,99 
28/10/2012;1;$ 1.823,18 ;$ 1.833,14 
29/10/2012;828;$ 1.823,18 ;$ 1.830,50 
30/10/2012;1281;$ 1.830,45 ;$ 1.825,21 
31/10/2012;1195;$ 1.829,89 ;$ 1.825,21 
01/11/2012;1088;$ 1.831,25 ;$ 1.825,21 
02/11/2012;1320;$ 1.825,50 ;$ 1.825,21 
03/11/2012;289;$ 1.828,80 ;$ 1.824,81 
04/11/2012;0;$ 1.828,80 ;$ 1.814,06 
05/11/2012;0;$ 1.828,80 ;$ 1.804,09 
06/11/2012;875;$ 1.828,80 ;$ 1.797,35 
07/11/2012;1095;$ 1.814,99 ;$ 1.797,35 
08/11/2012;1318;$ 1.814,83 ;$ 1.797,35 
09/11/2012;1361;$ 1.814,21 ;$ 1.802,23 
10/11/2012;336;$ 1.816,99 ;$ 1.795,40 
11/11/2012;0;$ 1.816,99 ;$ 1.802,22 
12/11/2012;0;$ 1.816,99 ;$ 1.799,57 
13/11/2012;855;$ 1.816,99 ;$ 1.789,54 
14/11/2012;1142;$ 1.819,30 ;$ 1.789,54 
15/11/2012;1205;$ 1.818,20 ;$ 1.789,54 
16/11/2012;1186;$ 1.822,61 ;$ 1.799,77 
17/11/2012;311;$ 1.823,46 ;$ 1.800,19 
18/11/2012;1;$ 1.823,46 ;$ 1.795,66 
19/11/2012;845;$ 1.823,46 ;$ 1.798,98 
20/11/2012;1084;$ 1.817,67 ;$ 1.796,75 
21/11/2012;1056;$ 1.815,58 ;$ 1.796,75 
22/11/2012;1135;$ 1.815,76 ;$ 1.796,75 
23/11/2012;1232;$ 1.815,76 ;$ 1.799,29 
24/11/2012;329;$ 1.820,18 ;$ 1.795,69 
25/11/2012;1;$ 1.820,18 ;$ 1.799,55 
26/11/2012;893;$ 1.820,18 ;$ 1.798,08 
27/11/2012;1180;$ 1.824,12 ;$ 1.800,52 
28/11/2012;1323;$ 1.823,54 ;$ 1.800,52 
29/11/2012;1448;$ 1.825,08 ;$ 1.800,52 
30/11/2012;1565;$ 1.817,93 ;$ 1.797,97 
01/12/2012;422;$ 1.813,72 ;$ 1.798,86 
02/12/2012;1;$ 1.813,72 ;$ 1.800,43 
03/12/2012;1024;$ 1.813,72 ;$ 1.797,68 
04/12/2012;1175;$ 1.813,73 ;$ 1.795,40 
05/12/2012;1587;$ 1.813,57 ;$ 1.795,40 
06/12/2012;1783;$ 1.811,05 ;$ 1.795,40 
07/12/2012;1652;$ 1.803,69 ;$ 1.795,40 
08/12/2012;0;$ 1.797,45 ;$ 1.798,32 
09/12/2012;0;$ 1.797,45 ;$ 1.799,78 
10/12/2012;1238;$ 1.797,45 ;$ 1.797,68 
11/12/2012;1583;$ 1.799,40 ;$ 1.797,68 
12/12/2012;1729;$ 1.801,50 ;$ 1.797,68 
13/12/2012;1827;$ 1.796,31 ;$ 1.797,68 
